Product ID,Product Name,Cat Website,Price,Price/Kg,Promotion,Innovation,Link,Image
285096795,Potters Mucus Cough 20 Pastilles,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£3.00,£0.15/each,,,/groceries/en-GB/products/285096795,https://digitalcontent.api.tesco.com/v2/media/ghs/d31967d4-4135-493f-9d9c-6783e27c5438/0fd76283-d659-43c0-ab33-319e23a3794c_174274041.jpeg?h=225&w=225
285096737,Potters Chesty Cough 20 Pastilles,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£3.00,£0.15/each,,,/groceries/en-GB/products/285096737,https://digitalcontent.api.tesco.com/v2/media/ghs/93379437-d9e0-42b7-adae-6ffb194d7d6c/3fd70f08-b73b-4a84-b3e3-29a2b7ee03dd_21252713.jpeg?h=225&w=225
303193854,Bonjela Soothing Teething Gel 15Ml,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£3.60,£24.00/100ml,,,/groceries/en-GB/products/303193854,https://digitalcontent.api.tesco.com/v2/media/ghs/7077c253-364c-47a8-93a0-dbda285bdd56/c8ef1edd-7646-43c2-9208-d4db2643b08a_543572679.jpeg?h=225&w=225
272105644,Elastoplast Extra Tough Waterproof Fabric 12S 10,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£2.70,£0.22/each,,,/groceries/en-GB/products/272105644,https://digitalcontent.api.tesco.com/v2/media/ghs/0a68bf3b-98b2-4f49-bc89-d1b1e4ba7c08/610f4757-e1db-48e7-89ad-013f2289d329_859917267.jpeg?h=225&w=225
308484024,Beechams Cold & Flu Powders 10 Sachets,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£2.65,£0.26/each,,,/groceries/en-GB/products/308484024,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
253885371,Tesco Health Sterile Wound Pads 5 Pack,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£1.50,£0.30/each,,,/groceries/en-GB/products/253885371,https://digitalcontent.api.tesco.com/v2/media/ghs/d0a17abb-f7d3-40e1-93bc-b2caa0a7e67e/2949eef4-78a5-402f-8db7-5006454358a9_688247640.jpeg?h=225&w=225
257427672,Rennie Sugar Free 24S,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£2.20,£0.09/each,,,/groceries/en-GB/products/257427672,https://digitalcontent.api.tesco.com/v2/media/ghs/6d5d8ccd-fb41-4b60-96ca-1a6fbd1bcc99/c54ccd1c-f17e-4c1e-b949-84f056a8034c_7562696.jpeg?h=225&w=225
256076949,Beechams Flu Plus Caplets 16S,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£2.40,£0.15/each,,,/groceries/en-GB/products/256076949,https://digitalcontent.api.tesco.com/v2/media/ghs/3acf1000-f489-4cd2-a282-81cd7f70565f/445db501-b3a9-46e3-b618-e1cd10ec6af4_25031472.jpeg?h=225&w=225
277842973,Tesco Faster Healing Hydrocolloid Dressings 5S,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£2.60,£0.52/each,,,/groceries/en-GB/products/277842973,https://digitalcontent.api.tesco.com/v2/media/ghs/7cc2a187-2a55-4148-8aae-111e5c6723db/073271ca-022b-40ab-84e4-9601edeb2934_2021450419.jpeg?h=225&w=225
301455829,Tesco Health Childrens Plaster 20 Pack,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Medicine&viewAll=department&page=,£1.20,£0.06/each,,,/groceries/en-GB/products/301455829,https://digitalcontent.api.tesco.com/v2/media/ghs/94987dd0-c63b-44bc-b19e-d7a465fc3420/3eba90df-1f54-440e-883c-815ce486ae27_1488573703.jpeg?h=225&w=225
